Frequency (Hz)	Level (dB)
546.405029	-115.855865
547.077942	-116.083450
547.750854	-116.985893
548.423767	-120.146187
549.096680	-113.234825
549.769592	-115.583725
550.442505	-111.574745
551.115417	-114.693916
551.788330	-116.320511
552.461243	-114.868942
553.134155	-118.356453
553.807068	-117.099564
554.479980	-115.471054
555.152893	-112.057800
555.825806	-114.395737
556.498718	-116.436684
557.171631	-124.251732
557.844543	-119.753601
558.517456	-117.589935
559.190369	-115.385963
559.863281	-113.562363
560.536194	-112.897339
561.209106	-115.964783
561.882019	-115.698708
562.554932	-114.768066
563.227844	-117.164993
563.900757	-113.758026
564.573669	-114.717438
565.246582	-115.178413
565.919495	-115.769234
566.592407	-116.406708
567.265320	-120.354347
567.938232	-118.469200
568.611145	-121.490410
569.284058	-115.186409
569.956970	-111.540092
570.629883	-112.243141
571.302795	-113.276047
571.975708	-110.830444
572.648621	-110.635399
573.321533	-109.899628
573.994446	-111.301872
574.667358	-111.194809
575.340271	-109.030754
576.013184	-111.969666
576.686096	-121.415688
577.359009	-116.501198
578.031921	-116.464699
578.704834	-110.334824
579.377747	-113.380745
580.050659	-114.461510
580.723572	-117.455132
581.396484	-113.138504
582.069397	-112.560196
582.742310	-112.203827
583.415222	-111.942963
584.088135	-115.838226
584.761047	-111.951675
585.433960	-110.340004
586.106873	-111.890877
586.779785	-116.765793
587.452698	-115.388069
588.125610	-110.784912
588.798523	-112.134239
589.471436	-114.241867
590.144348	-119.867561
590.817261	-117.732681
591.490173	-114.953903
592.163086	-112.118080
592.835999	-109.781418
593.508911	-109.626541
594.181824	-111.751915
594.854736	-120.025856
595.527649	-115.052422
596.200562	-111.271927
596.873474	-110.944084
597.546387	-113.652199
598.219299	-117.052849
598.892212	-115.371735
599.565125	-117.305038
600.238037	-114.110542
600.910950	-113.337288
601.583862	-113.625267
602.256775	-113.188614
602.929688	-113.283348
603.602600	-113.478516
604.275513	-114.673286
604.948425	-116.716835
605.621338	-117.526184
606.294250	-114.904579
606.967163	-112.329994
607.640076	-111.556015
608.312988	-112.768867
608.985901	-114.241165
609.658813	-115.379944
610.331726	-115.163162
611.004639	-115.949867
611.677551	-117.813988
612.350464	-116.320511
613.023376	-113.974998
613.696289	-114.434547
614.369202	-116.020737
615.042114	-114.333504
615.715027	-112.497391
616.387939	-114.521736
617.060852	-113.433273
617.733765	-115.891418
618.406677	-118.251511
619.079590	-113.673576
619.752502	-115.669510
620.425415	-113.779495
621.098328	-113.432297
621.771240	-118.579926
622.444153	-111.306061
623.117065	-115.127029
623.789978	-115.203743
624.462891	-111.657997
625.135803	-112.657524
625.808716	-111.620270
626.481628	-111.993484
627.154541	-115.106194
627.827454	-113.929878
628.500366	-113.637787
629.173279	-114.541466
629.846191	-115.281433
630.519104	-114.265602
631.192017	-121.552963
631.864929	-117.858589
632.537842	-113.545616
633.210754	-115.058746
633.883667	-115.216537
634.556580	-117.840828
635.229492	-112.116432
635.902405	-111.859200
636.575317	-110.899788
637.248230	-109.951775
637.921143	-115.152679
638.594055	-112.245293
639.266968	-112.667206
639.939880	-114.209145
640.612793	-108.504005
641.285706	-111.549110
641.958618	-105.662582
642.631531	-108.460838
643.304443	-101.584679
643.977356	-101.812721
644.650269	-99.360970
645.323181	-97.810143
645.996094	-101.999649
646.669006	-93.418015
647.341919	-88.015144
648.014832	-87.175964
648.687744	-74.063393
649.360657	-77.487640
650.033569	-86.738525
650.706482	-91.918800
651.379395	-96.319466
652.052307	-102.001953
652.725220	-99.477501
653.398132	-99.785492
654.071045	-104.534065
654.743958	-108.203300
655.416870	-107.477585
656.089783	-110.346321
656.762695	-109.354233
657.435608	-108.723770
658.108521	-110.064438
658.781433	-113.916710
659.454346	-113.534309
660.127258	-112.355728
660.800171	-111.683464
661.473083	-113.285973
662.145996	-111.815430
662.818909	-114.220596
663.491821	-115.259766
664.164734	-119.105492
664.837646	-114.966209
665.510559	-120.269943
666.183472	-113.291626
666.856384	-112.934921
667.529297	-113.847176
668.202209	-114.091980
668.875122	-116.068466
669.548035	-113.301308
670.220947	-116.037758
670.893860	-116.295616
671.566772	-114.328804
672.239685	-115.916702
672.912598	-112.124672
673.585510	-112.820007
674.258423	-111.808952
674.931335	-114.005920
675.604248	-113.144753
676.277161	-112.187531
676.950073	-112.326965
677.622986	-111.784363
678.295898	-112.209023
678.968811	-118.201370
679.641724	-114.974930
680.314636	-113.625961
680.987549	-113.078995
681.660461	-116.146767
682.333374	-114.819862
683.006287	-113.183052
683.679199	-111.756775
684.352112	-112.165024
685.025024	-112.018440
685.697937	-111.774757
686.370850	-118.434387
687.043762	-114.670303
687.716675	-110.250214
688.389587	-110.918938
689.062500	-112.559868
689.735413	-116.003204
690.408325	-115.269798
691.081238	-115.622658
691.754150	-113.221992
692.427063	-110.895958
693.099976	-113.322739
693.772888	-113.940331
694.445801	-113.671852
695.118713	-112.767868
695.791626	-111.072098
696.464539	-111.362114
697.137451	-112.763184
697.810364	-117.077522
698.483276	-112.815674
699.156189	-112.629387
699.829102	-113.410568
700.502014	-111.972450
701.174927	-114.044098
701.847839	-111.678589
702.520752	-111.917969
703.193665	-115.081940
703.866577	-109.578323
704.539490	-111.867111
705.212402	-111.070206
705.885315	-112.947227
706.558228	-114.027199
707.231140	-115.132385
707.904053	-116.303482
708.576965	-112.886276
709.249878	-114.761169
709.922791	-112.805931
710.595703	-109.958534
711.268616	-114.525993
711.941528	-114.219437
712.614441	-116.067116
713.287354	-117.365768
713.960266	-112.200867
714.633179	-111.686508
715.306091	-113.130669
715.979004	-112.426254
716.651917	-113.931587
717.324829	-115.497086
717.997742	-118.584702
718.670654	-116.996071
719.343567	-117.347176
720.016479	-114.907234
720.689392	-111.767784
721.362305	-113.515846
722.035217	-112.144104
722.708130	-112.074371
723.381042	-115.669113
724.053955	-114.559914
724.726868	-113.808472
725.399780	-116.411644
726.072693	-117.194405
726.745605	-114.854645
727.418518	-111.251755
728.091431	-110.925972
728.764343	-118.980949
729.437256	-111.831039
730.110168	-111.091667
730.783081	-114.573662
731.455994	-121.304115
732.128906	-118.122055
732.801819	-117.806236
733.474731	-126.258293
734.147644	-124.403320
734.820557	-119.368843
735.493469	-117.344856
736.166382	-112.534363
736.839294	-112.668762
737.512207	-112.354797
738.185120	-112.672371
738.858032	-117.969536
739.530945	-113.058136
740.203857	-116.547882
740.876770	-119.457664
741.549683	-116.900108
742.222595	-117.305473
742.895508	-115.826103
743.568420	-115.708473
744.241333	-116.312386
744.914246	-113.981354
745.587158	-119.315163
746.260071	-117.446091
746.932983	-112.286018
747.605896	-115.180595
748.278809	-114.213951
748.951721	-115.981956
749.624634	-117.544815
750.297546	-123.754669
750.970459	-116.923119
751.643372	-116.426224
752.316284	-122.191841
752.989197	-113.610069
753.662109	-112.683624
754.335022	-114.206604
755.007935	-116.217369
755.680847	-115.501953
756.353760	-111.508629
757.026672	-110.541855
757.699585	-115.467400
758.372498	-112.935310
759.045410	-115.459312
759.718323	-118.017952
760.391235	-117.488205
761.064148	-115.687622
761.737061	-116.965775
762.409973	-124.037842
763.082886	-116.036995
763.755798	-115.389282
764.428711	-117.707054
765.101624	-119.808563
765.774536	-119.135368
766.447449	-118.845421
767.120361	-113.990196
767.793274	-120.158272
768.466187	-115.799393
769.139099	-116.356438
769.812012	-120.511772
770.484924	-114.748970
